paper_id,title,venue,year,citations,clean_accuracy_source_target_separate,transfer_denominator_clean_correct,conditions_on_source_attack_success,reports_absolute_counts,numeric_linf_or_l2_budget,artifacts_sufficient_to_recompute,evidence
4637f79ddfaf923ce569996ffa5b6cda1996faa1,Jailbreaking Black Box Large Language Models in Twenty Queries,2025 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML),2023,1700,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
8ecdbfe011b7189fa0ee49ffc4e42a93d728a371,On Evaluating Adversarial Robustness of Large Vision-Language Models,Neural Information Processing Systems,2023,398,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=Table 1: White-box attacks against surrogate models. We craft adversarial images xadv using MF-it: transferability of crafted xadv to evade large VLMs (e.g., MiniGPT-4). Model Clean image Adversarial image Time to obtain a single xadv xcle hξ(ctar) | f5=1 Introduction: l Information Processing Systems (NeurIPS 2023). arXiv:2305.16934v2 [cs.CV] 29 Oct 2023 === PAGE 2 === BLIP-2: image captioning Target: “A hand dr | f6=not located in full text or linked supplement; coded unclear under the silence rule"
2fb43a4c5cab8215d510fc585ca81fb5ee8a3abb,Skip Connections Matter: On the Transferability of Adversarial Examples Generated with ResNets,International Conference on Learning Representations,2020,374,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: transferability. Our method is termed Skip Gradient Method (SGM). We conduct comprehensive transfer attacks against state-of-the-art DNNs including Re | f5=1 arXiv:2002.05990v1 [cs.LG] 14 Feb 2020: L∞perturbation ϵ = 16 (pixel values are in [0, 255]). The black-box success rate is tested against a VGG19 target model. in a black-box setting, thus | f6=not located in full text or linked supplement; coded unclear under the silence rule"
27d2f8a0601ce4bd73339ddffc83977e858c5503,DPATCH: An Adversarial Patch Attack on Object Detectors,SafeAI@AAAI,2018,374,unclear,unclear,unclear,no,unclear,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: transferability among different detectors as well as training datasets. For example, DPATCH that is trained on Faster R-CNN can effectively attack YOL | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule"
e3dacba4399fc66f31779060db730ea423f341d8,AdvHat: Real-World Adversarial Attack on ArcFace Face ID System,International Conference on Pattern Recognition,2019,370,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
b18580c6746a47603955074931d4687e268781ea,Feature Importance-aware Transferable Adversarial Attacks,IEEE International Conference on Computer Vision,2021,344,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: Transferability of adversarial examples is of central im- portance for attacking an unknown model, which facilitates adversarial attacks in more pract | f5=4.1. Feature Importance by Aggregate Gradient: ℓ2-norm on the corresponding summa- tion term. The ensemble number N indicates the number Algorithm 1: Feature Importance-aware Attack Input: The orig | f6=not located in full text or linked supplement; coded unclear under the silence rule"
3636d3f0562f3ab5f5df68c1c9a23530c0fbce64,Parametric Noise Injection: Trainable Randomness to Improve Deep Neural Network Robustness Against Adversarial Attack,Computer Vision and Pattern Recognition,2018,332,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=Table 5. PNI against black-box attacks: On CIFAR-10 test-set, (Left) perturbed-data accuracy under: attack success rate for ZOO attack. Model-A is a ResNet-18 trained by vanilla adversarial training, and Model-B is a ResNet-18 trained by PNI-W/A-a/W+ | f5=2.1 Adversarial Attack: L∞adversarial example generation algorithm. With ˆx1 = x as the initialization, the iterative update of perturbed data ˆx can be expressed as: ˆxt+1 = | f6=not located in full text or linked supplement; coded unclear under the silence rule"
7610bcc3444c824a25f5c3779c097a9bdd4c185a,A Survey on Safety-Critical Driving Scenario Generation—A Methodological Perspective,IEEE transactions on intelligent transportation systems (Print),2022,325,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
edabab811aaf44b7b626efe5278a32bddd3bb77f,Improving Black-box Adversarial Attacks with a Transfer-based Prior,Neural Information Processing Systems,2019,310,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: attack success rates or poor query efﬁciency since it is non-trivial to estimate the gradient in a high-dimensional space with limited information. To | f5=p. 1: l Information Processing Systems (NeurIPS 2019), Vancouver, Canada. arXiv:1906.06919v3 [cs.LG] 26 Jul 2020 === PAGE 2 === target model. In query-b | f6=not located in full text or linked supplement; coded unclear under the silence rule"
90dcaf5b7ded95f61666711aa94a59eae77bc304,Enhancing Adversarial Example Transferability With an Intermediate Level Attack,IEEE International Conference on Computer Vision,2019,305,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: Transferability with an Intermediate Level Attack Qian Huang∗ Cornell University qh53@cornell.edu Isay Katsman∗ Cornell University isk22@cornell.edu H | f5=3. Approach: L∞bound ϵ; Learning rate lr; Iterations n; Loss function L. 1: procedure ILA(x′, Fl, ϵ, lr, L) 2: x′′ = x 3: i = 0 4: while i < n do 5: ∆y′ l = Fl(x′) | f6=not located in full text or linked supplement; coded unclear under the silence rule"
558f7fa8c8e909e7aa67b20d41ba5896b68dcf54,Admix: Enhancing the Transferability of Adversarial Attacks,IEEE International Conference on Computer Vision,2021,303,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: Transferability of Adversarial Attacks Xiaosen Wang1 Xuanran He2 Jingdong Wang3 Kun He1* 1School of Computer Science and Technology, Huazhong Universi | f5=3.1. Attacks for Enhancing the Transferability: ℓ∞-norm in this work. Fast Gradient Sign Method (FGSM) [7] crafts adver- sarial example by adding perturbation in the gradient direc- tion of the loss | f6=not located in full text or linked supplement; coded unclear under the silence rule"
be4a4f7f65d397a4e07dc83b95da6b414e0634e2,Adversarial Examples that Fool both Computer Vision and Time-Limited Humans,Neural Information Processing Systems,2018,290,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
8680c075abfb7832ff1321b5f409f2a5e57570f2,Frequency Domain Model Augmentation for Adversarial Attack,European Conference on Computer Vision,2022,287,unclear,unclear,unclear,no,yes,yes,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=2 Beihang University 3 Hunan University: transferability of adversarial examples can be improved by attacking diverse models simultaneously, model augmentation methods which simulate differen | f5=1 Introduction: l 2022 === PAGE 2 === 2 Y.Long et al. (d) Inc-v3 (e) Inc-v4 (f) Res-152 (g) IncRes-v2ens (a) Inc-v4 (Ours) (b) Inc-v4 (SI) (c) Inc-v4 (Admix) Fig. 1 | f6=2 Beihang University 3 Hunan University: code is available in https://github.com/yuyang-long/SSA. Keywords: Adversarial examples, Model augmentation, Transferability 1 Introduction In recent"
43e51c1bfd69df518e2907f7a955e485985ba423,On the Robustness of Vision Transformers to Adversarial Examples,IEEE International Conference on Computer Vision,2021,284,yes,yes,no,no,yes,yes,"f1=p. 1: clean accuracy. Our analysis for this work is done using six types of white-box attacks and two types of black-box attacks. Our study encompasses mult | f2=full-text adjudication; no uniquely numbered table or section states the criterion | f3=full-text adjudication; no uniquely numbered table or section states the criterion | f4=p. 1: transferability [28, 21, 29]. Here, transferability refers to the fact that adversarial examples crafted to fool one CNN are often misclassiﬁed by oth | f5=3.1. Adversarial Model, Considered Classiﬁers and: ϵ = 0.031 and for ImageNet ϵ = 0.062, where x is an n × m color image such that x ∈[0, 1]n×m×3. The adversary succeeds if they are able to create an i | f6=p. 22: github.com/MetaMain/ViTRobust. === PAGE 23 === Table 10. Full transferability results for CIFAR-10. The ﬁrst column in each table represents the mod"
717425092f2e7a2a00c98e8e1778036e9b5a8b4e,NATTACK: Learning the Distributions of Adversarial Examples for an Improved Black-Box Attack on Deep Neural Networks,International Conference on Machine Learning,2019,276,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=3. Experiments: attack success rate versus the attack iteration. The curves provide a complementary metric to the overall attack success rate, uncovering the dynamic | f5=full-text adjudication; no uniquely numbered table or section states the criterion | f6=not located in full text or linked supplement; coded unclear under the silence rule"
7005fe514458b538b7516b41af5f5e1971154070,Adversarial vulnerability for any classifier,Neural Information Processing Systems,2018,273,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
287e82b08cc5b8c8aae03825b466fcb73860b0c4,Data-Free Model Extraction,Computer Vision and Pattern Recognition,2020,254,unclear,unclear,unclear,unclear,unclear,yes,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=2. Related Work: Code and models for reproducing our work can be found at https://github.com/cake-lab/datafree-model-extraction 2.1. Data-Free Knowledge Distillation K
8bf18d546ae7aea144663136c5704049953ce4e2,SparseFool: A Few Pixels Make a Big Difference,Computer Vision and Pattern Recognition,2018,245,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
d5d7ce70a6618393176f254d5617b3bb070003cd,Exploring Adversarial Examples in Malware Detection,2019 IEEE Security and Privacy Workshops (SPW),2018,230,unclear,unclear,unclear,no,yes,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: transferability of single-step attacks. I. INTRODUCTION The popularity of convolutional neural network (CNN) classiﬁers has lead to their adoption in | f5=p. 3: L∞. In order to === PAGE 4 === 0 1000 2000 3000 4000 byte sequence number 0.0 0.2 0.4 0.6 0.8 1.0 CDF 0.79 0.55 0.87 activations cdf file sizes cdf | f6=not located in full text or linked supplement; coded unclear under the silence rule
9f4c17aebbb181756fab86ade02deadd90d5d4f9,How Robust is Google's Bard to Adversarial Image Attacks?,arXiv.org,2023,223,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: transferability. We show that the adversarial examples can also attack other MLLMs, e.g., a 26% attack success rate against Bing Chat and a 86% attack | f5=p. 2: ϵ = 16/255 under the ℓ∞norm. We show that these adversarial images are highly transferable to fool other MLLMs, including GPT-4V [37] with the 45% att | f6=not located in full text or linked supplement; coded unclear under the silence rule"
14a865278845d5a51e3b181f322e993397650b48,Feature Space Perturbations Yield More Transferable Adversarial Examples,Computer Vision and Pattern Recognition,2019,208,unclear,yes,yes,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=full-text adjudication; no uniquely numbered table or section states the criterion | f3=0 means no attack.: particular examples that fool the whitebox model also fool the blackbox model. Note, fooling in this context means the prediction does not equal the t | f4=p. 1: transferability and drives feature space representation of a source image at layer L towards the representation of a target image at L. The attack yie | f5=4.2. Attack Algorithm: L∞ constrained iterative gradient sign attack with momentum (TMIFGSM)[4]. Our attack algorithm iteratively perturbs the source image using the sign of | f6=not located in full text or linked supplement; coded unclear under the silence rule"
b4196762025fb50eb3fdf521702d70f94e270b40,Patch-wise Attack for Fooling Deep Neural Network,European Conference on Computer Vision,2020,206,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
a5fd689c0890fa15fcdc3d97e805d38d342ed524,Towards Transferable Adversarial Attack Against Deep Face Recognition,IEEE Transactions on Information Forensics and Security,2020,204,unclear,unclear,unclear,no,no,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=1 Towards Transferable Adversarial Attack against: transferability of feature-level adver- sarial examples, we propose DFANet, a dropout-based method used in convolutional layers, which can increase th | f5=full-text adjudication; no uniquely numbered table or section states the criterion | f6=not located in full text or linked supplement; coded unclear under the silence rule"
7cf2cfd10b4f9e99f22efdaa45c7d55ee59ffa79,Adv-Makeup: A New Imperceptible and Transferable Attack on Face Recognition,International Joint Conference on Artificial Intelligence,2021,201,unclear,unclear,unclear,no,no,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: transferability to black-box models, or fail to be implemented in practice. In this paper, we propose a uniﬁed ad- versarial face generation method - | f5=full-text adjudication; no uniquely numbered table or section states the criterion | f6=not located in full text or linked supplement; coded unclear under the silence rule"
6e85c80aae6457a76bb719c2d2d303abcc682a29,Interpretable Deep Learning under Fire,USENIX Security Symposium,2018,201,unclear,unclear,unclear,no,yes,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: transferability and incorporating it in an adversarial training framework. Our ﬁndings shed light on designing and operat- ing IDLSes in a more secure | f5=3.6 Implementation and Optimization: L∞norm to measure the perturba- tion magnitude. It is possible to adopt alternative frameworks if other perturbation metrics are considered. For insta | f6=not located in full text or linked supplement; coded unclear under the silence rule
4d548fd21aad60e3052455e22b7a57cc1f06e3c3,CloudLeak: Large-Scale Deep Learning Models Stealing Through Adversarial Examples,Network and Distributed System Security Symposium,2020,198,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
5effd428e3012061ba3d8b32f1952c2938c7ab7b,Deep Neural Network Fingerprinting by Conferrable Adversarial Examples,International Conference on Learning Representations,2019,198,yes,unclear,unclear,unclear,unclear,unclear,f1=full-text adjudication; no uniquely numbered table or section states the criterion | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
a9682a89b2fef793507c365a577f1521745db96c,Boosting the Transferability of Adversarial Samples via Attention,Computer Vision and Pattern Recognition,2020,195,yes,unclear,unclear,no,yes,unclear,"f1=5.2. Transferability of Attacks: clean accuracy and appear resistant to random noise. Models with higher capacity usu- ally exhibit better performance. Second, under white-box setups, | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: Transferability of Adversarial Samples via Attention Weibin Wu1, Yuxin Su1∗, Xixian Chen2, Shenglin Zhao2, Irwin King1, Michael R. Lyu1, Yu-Wing Tai2 | f5=3. Preliminaries: l∞ norm in this work, as it is the most widely advocated in the community [9]. We also note that our method is generally applicable to other norm choi | f6=not located in full text or linked supplement; coded unclear under the silence rule"
bc1138738f24c4a23d865d7786fc4c8229e4662a,Cross-Domain Transferability of Adversarial Perturbations,Neural Information Processing Systems,2019,189,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: Transferability of Adversarial Perturbations Muzammal Naseer1,2, Salman Khan2,1, Muhammad Haris Khan2, Fahad Shahbaz Khan2,3, Fatih Porikli1 1Australi | f5=p. 1: ℓ∞≤10). The core of our proposed adversarial function is a generative network that is trained using a relativistic supervisory signal that enables dom | f6=not located in full text or linked supplement; coded unclear under the silence rule"
d8f64187b447d1b64f69f541dbbaec71bd79d205,ActiveThief: Model Extraction Using Active Learning and Unannotated Public Data,AAAI Conference on Artificial Intelligence,2020,184,unclear,unclear,unclear,no,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 2: transferability compared to a state-of-the-art adversarial at- tack based on model extraction (Papernot et al. 2017). Considering the severity of mode | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
54c15364b5873e39257c221112fdf22299ed9e8a,Towards Large Yet Imperceptible Adversarial Image Perturbations With Perceptual Color Distance,Computer Vision and Pattern Recognition,2019,182,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
